source,ref,entity_type,problem,severity,fix_group,priority,suggested_action
file-coverage,src-food-350c203a5cc1,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""Det er mye penger å tjene på matsvinn _ Framtiden i våre hender.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-food-417f05987af9,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""Endelig er matsvinnloven her! _ Framtiden i våre hender.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-food-4181e010b622,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""French insect protein producer Ÿnsect enters judicial liquidation _ PetfoodIndustry.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-food-453da8163d8c,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""Bama og Coop må slutte å motarbeide frukt-… _ Framtiden i våre hender.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-food-4aa258327fbf,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""Framtiden i våre hender åpner matbutikk! _ Framtiden i våre hender.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-food-523403f1176d,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""Response of food waste anaerobic digestion to the dimensions of micron-biochar under 30 g VS_L organic loading rate_ Focus on gas production and microbial community structure - ScienceDirect.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-food-5f481fd61eef,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""Ny rapport om krav til åpenhet i dagligvarebransjen - regjeringen.no.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-food-6fc48af8593f,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""Meningsbryteren _ Framtiden i våre hender.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-food-73e577ffb7fe,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""Ikkje lett å bli klok på sjølvforsyning - Nibio.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-food-742d30b62e5b,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""100 millioner brød har blitt kastet siden… _ Framtiden i våre hender.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-food-7ff714786c3d,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""fréttatilkynning-hagar-4f-2024-25-ensk.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-food-8e6cce65c4d2,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""Gapet i klimapolitikken _ Framtiden i våre hender.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-food-94590aefd6eb,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""Matkjedene skviser bonden _ Framtiden i våre hender.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-food-a3cb60c97628,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""Hooked Foods - Enkelt, Gott & Näringsrikt. 100% Veganskt såklart, för allas bästa!.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-food-ca7d33d16744,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""Til bøndene fra staten_ Er du sikker på at… _ Framtiden i våre hender.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-food-cdacc160baf2,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""Ny forskning viser at vi kan mangedoble… _ Framtiden i våre hender.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-food-d107d6648254,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""Nordmenn vil spise sunnere og mer… _ Framtiden i våre hender.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-yt--TkOU0IeVq0,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""18--TkOU0IeVq0-local-asr-small.txt"" or update SourceDoc.filename to actual location"
file-coverage,src-yt-6kP1Kfmzm9w,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""12-6kP1Kfmzm9w-local-asr-small.txt"" or update SourceDoc.filename to actual location"
file-coverage,src-yt-8JZSIH4WC5A,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""05-per-inge-egeland-om-kurstilbud-for-landbrukets-tillitsvalgte-8JZSIH4WC5A.txt"" or update SourceDoc.filename to actual location"
file-coverage,src-yt-aPzdVR0eaI4,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""06-sigrid-heringstad-om-kurstilbud-for-landbrukets-tillitsvalgte-aPzdVR0eaI4.txt"" or update SourceDoc.filename to actual location"
file-coverage,src-yt-blx_7Jwq0Nc,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""07-loopfilm-norges-bondelag-blx_7Jwq0Nc.txt"" or update SourceDoc.filename to actual location"
file-coverage,src-yt-BOQZvBG_LBw,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""01-kari-toft-fullversjon-bred-BOQZvBG_LBw.txt"" or update SourceDoc.filename to actual location"
file-coverage,src-yt-cvT_rOtTDBo,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""13-landbruk-arena-forklarer-hva-er-kronetoll-og-hva-er-prosenttoll-cvT_rOtTDBo.txt"" or update SourceDoc.filename to actual location"
