Year,NACECode,Industry,Prob,BNPB,LOKO,DRI
2003,nr23_6,Totalt for næringer,2651074,1438308,727346,473264
2003,pub2X03,"Fiske, fangst og akvakultur",19714,6055,1808,1515
2004,A64NP2X01,"Jordbruk, jakt og viltstell",24797,9771,3270,8238
2004,A64NP2X03A,Fiske og fangst,10699,6264,521,4000
2004,A64NP2X03B,Akvakultur,12584,2370,1239,301
2004,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",125927,31361,17579,9755
2004,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,102740,26046,14486,8330
2004,nr2312,¬¬ Bearbeiding og konservering av fisk mv,23187,5315,3093,1425
2004,nr23_6,Totalt for næringer,2894481,1591205,761783,580355
2004,pub2X03,"Fiske, fangst og akvakultur",23283,8634,1760,4301
2005,A64NP2X01,"Jordbruk, jakt og viltstell",24723,9214,3450,7263
2005,A64NP2X03A,Fiske og fangst,11996,7284,512,5106
2005,A64NP2X03B,Akvakultur,15613,4977,1320,2910
2005,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",129997,32304,17921,10298
2005,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,104925,26582,14998,8259
2005,nr2312,¬¬ Bearbeiding og konservering av fisk mv,25072,5722,2923,2039
2005,nr23_6,Totalt for næringer,3216244,1791921,808187,717681
2005,pub2X03,"Fiske, fangst og akvakultur",27609,12261,1832,8016
2006,A64NP2X01,"Jordbruk, jakt og viltstell",26303,10167,3704,7531
2006,A64NP2X03A,Fiske og fangst,12020,7412,630,5352
2006,A64NP2X03B,Akvakultur,21120,7077,1514,4835
2006,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",135170,33916,18846,10945
2006,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,104885,25915,15853,6723
2006,nr2312,¬¬ Bearbeiding og konservering av fisk mv,30285,8001,2993,4222
2006,nr23_6,Totalt for næringer,3618164,2004433,881238,833400
2006,pub2X03,"Fiske, fangst og akvakultur",33140,14489,2144,10187
2007,A64NP2X01,"Jordbruk, jakt og viltstell",26583,9644,3936,7114
2007,A64NP2X03A,Fiske og fangst,12405,7507,748,5273
2007,A64NP2X03B,Akvakultur,20507,4196,1713,1659
2007,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",147668,33669,20156,8874
2007,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,113524,27745,16991,6962
2007,nr2312,¬¬ Bearbeiding og konservering av fisk mv,34144,5924,3165,1912
2007,nr23_6,Totalt for næringer,3942964,2125827,974883,828682
2007,pub2X03,"Fiske, fangst og akvakultur",32912,11703,2461,6932
2008,A64NP2X01,"Jordbruk, jakt og viltstell",28789,10386,4100,7512
2008,A64NP2X03A,Fiske og fangst,12544,7521,870,5396
2008,A64NP2X03B,Akvakultur,21219,3839,1951,962
2008,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",150618,32427,21112,6351
2008,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,116752,27747,17827,5885
2008,nr2312,¬¬ Bearbeiding og konservering av fisk mv,33866,4680,3285,466
2008,nr23_6,Totalt for næringer,4403916,2401972,1069735,973124
2008,pub2X03,"Fiske, fangst og akvakultur",33763,11360,2821,6358
