fartoy_id;antall_sedler;antall_linjer;rundvekt_kg;fangstverdi_kr;siste_landingsdato;topp3_arter_rundvekt
1978007777;76;240;38895.6;579295.0;2025-12-09;Sei (31 525 kg) | Nordøstarktisk torsk (7 040 kg) | Lange (171 kg)
1978007962;19;156;40960.2;402876.0;2025-12-20;Nordøstarktisk torsk (20 834 kg) | Nordøstarktisk hyse (15 744 kg) | Brosme (2 916 kg)
1978009092;17;178;53588.9;2136421.0;2025-06-05;Nordøstarktisk torsk (41 208 kg) | Nordøstarktisk hyse (7 696 kg) | Rødspette (2 461 kg)
1978009126;30;167;8263.7;95622.0;2025-12-23;Hyse (2 458 kg) | Sei (2 340 kg) | Breiflabb (890 kg)
1978009284;33;135;8092.1;414762.0;2025-12-02;Nordøstarktisk torsk (6 421 kg) | Kongekrabbe  hann- (1 434 kg) | Sei (129 kg)
1978009389;29;175;2058.2;41323.0;2025-12-18;Kongekrabbe  hann- (1 006 kg) | Kongekrabbe  hunn- (667 kg) | Kveite (145 kg)
1978009754;54;189;16168.2;68212.0;2025-12-19;Taskekrabbe  hun- (9 479 kg) | Taskekrabbe  han- (4 768 kg) | Pigghå (699 kg)
1978009887;35;53;7941.8;205261.0;2025-10-22;Sei (7 412 kg) | Sjøkreps (457 kg) | Lyr (20 kg)
1978009901;4;14;1456.0;0.0;2025-11-05;Kongekrabbe  hann- (1 442 kg) | Kongekrabbe  hunn- (14 kg)
1978009978;14;28;357.9;36974.0;2025-12-21;Sjøkreps (250 kg) | Nordøstarktisk hyse (55 kg) | Nordøstarktisk torsk (17 kg)
1978010687;12;67;39846.6;1888439.0;2025-09-17;Nordøstarktisk torsk (25 099 kg) | Blåkveite (9 787 kg) | Kveite (4 028 kg)
1978011104;8;34;8059.6;374082.0;2025-03-31;Nordøstarktisk torsk (8 013 kg) | Sei (45 kg) | Brosme (1 kg)
1978011255;39;259;47689.3;1194254.0;2025-11-25;Rognkjeks (hun) (28 462 kg) | Nordøstarktisk torsk (13 357 kg) | Kveite (4 065 kg)
1978011265;4;24;43910.8;2370472.0;2025-06-10;Nordøstarktisk torsk (32 407 kg) | Blåkveite (11 328 kg) | Skolest (155 kg)
1978011344;7;20;8328.0;346085.0;2025-05-14;Nordøstarktisk torsk (7 971 kg) | Sei (357 kg)
